ID,year,i.vars.label,ivars_class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
89,1996,guar.jobs.n.income,1,NES,props.r,0.142663115,0.2,0.04,0.008,0,0,2
90,1998,guar.jobs.n.income,1,NES,props.r,0.222183532,0.4,0.16,0.064,0,0,2
91,2000,guar.jobs.n.income,1,NES,props.r,0.133827136,0.6,0.36,0.216,0,0,2
92,2004,guar.jobs.n.income,1,NES,props.r,0.180664538,1,1,1,0,0,2
93,2008,guar.jobs.n.income,1,NES,props.r,0.13919957,1.4,1.96,2.744,0,0,2
94,2012,guar.jobs.n.income,1,NES,props.r,0.129716783,1.8,3.24,5.832,0,0,2
95,2016,guar.jobs.n.income,1,NES,props.r,0.129735488,2.2,4.84,10.648,0,0,2
96,1982,gov.spend.services,1,NES,props.d,0.423076923,-1.2,1.44,-1.728,0,1,3
97,1984,gov.spend.services,1,NES,props.d,0.487471526,-1,1,-1,0,1,3
98,1986,gov.spend.services,1,NES,props.d,0.578571429,-0.8,0.64,-0.512,0,1,3
99,1988,gov.spend.services,1,NES,props.d,0.518072289,-0.6,0.36,-0.216,0,1,3
100,1990,gov.spend.services,1,NES,props.d,0.552662722,-0.4,0.16,-0.064,0,1,3
101,1992,gov.spend.services,1,NES,props.d,0.483818576,-0.2,0.04,-0.008,0,1,3
102,1994,gov.spend.services,1,NES,props.d,0.413201253,0,0,0,0,1,3
103,1996,gov.spend.services,1,NES,props.d,0.450836843,0.2,0.04,0.008,0,1,3
104,1998,gov.spend.services,1,NES,props.d,0.487202077,0.4,0.16,0.064,0,1,3
105,2000,gov.spend.services,1,NES,props.d,0.633967771,0.6,0.36,0.216,0,1,3
106,2004,gov.spend.services,1,NES,props.d,0.651964897,1,1,1,0,1,3
107,2008,gov.spend.services,1,NES,props.d,0.658042302,1.4,1.96,2.744,0,1,3
108,2012,gov.spend.services,1,NES,props.d,0.524886245,1.8,3.24,5.832,0,1,3
109,2016,gov.spend.services,1,NES,props.d,0.633611363,2.2,4.84,10.648,0,1,3
110,1982,gov.spend.services,1,NES,props.i,0.285714286,-1.2,1.44,-1.728,1,0,3
111,1984,gov.spend.services,1,NES,props.i,0.333333333,-1,1,-1,1,0,3
112,1986,gov.spend.services,1,NES,props.i,0.452755906,-0.8,0.64,-0.512,1,0,3
113,1988,gov.spend.services,1,NES,props.i,0.435582822,-0.6,0.36,-0.216,1,0,3
114,1990,gov.spend.services,1,NES,props.i,0.439759036,-0.4,0.16,-0.064,1,0,3
115,1992,gov.spend.services,1,NES,props.i,0.39214142,-0.2,0.04,-0.008,1,0,3
116,1994,gov.spend.services,1,NES,props.i,0.39165892,0,0,0,1,0,3
